text,difficulty,importance
go to team standup quick low value,0.108,0.349
get doctor appointment non trivial,0.583,0.452
go for meditation tough no benefit,0.559,0.14
attend networking event tomorrow,0.329,0.334
run sprint planning brutal intense,0.911,0.934
refactor documentation extremely complex critical,0.798,0.935
go to medication extreme critical,0.884,0.904
file timesheet exhausting low stakes,0.668,0.144
do dishes massive effort basically useless,0.826,0.078
finish unit testing difficult urgent,0.583,0.84
get dentist this week,0.418,0.511
attend meeting massive effort basically useless,0.811,0.11
finish email brutal intense,0.933,0.866
complete taxes brutal intense,0.846,0.827
go to dentist fairly important,0.449,0.652
push deployment difficult needs doing,0.653,0.748
complete invoice complex nobody asked for,0.678,0.125
ship report takes no time top priority,0.045,0.869
write report hard very important,0.645,0.835
get doctor appointment tough urgent must do,0.668,0.881
hard sprint planning,0.617,0.432
do cooking takes forever but skip it,0.675,0.11
push performance review hard zero payoff,0.603,0.111
push report considerable effort,0.464,0.42
get cleaning quick but important,0.125,0.84
finish cleaning hard needs focus,0.622,0.724
study for reading considerable effort,0.506,0.372
work on code review not important,0.26,0.276
debug deployment one click very important,0.078,0.861
go for run decent effort important,0.42,0.745
have sprint planning hard demanding,0.611,0.636
get dishes this evening,0.397,0.178
prepare for reading difficult needs doing,0.581,0.507
have networking event draining but irrelevant,0.741,0.133
debug email hard nobody cares,0.731,0.135
finish email not difficult,0.134,0.267
do dusting background task,0.332,0.241
finish laundry complex nobody asked for,0.57,0.064
join networking event complex nobody asked for,0.723,0.075
do workout tiny task major impact,0.063,0.93
do taxes tonight,0.35,0.377
study for homework considerable effort,0.597,0.476
go to medication quick nothing important,0.036,0.103
complete documentation extreme critical,0.925,0.879
attend meeting tomorrow,0.28,0.384
have slides hard doesn't matter,0.59,0.172
lead presentation easy no effort,0.001,0.075
submit taxes decent work reasonable priority,0.511,0.554
go to interview should take some time,0.464,0.343
finish cooking barely any effort extremely important,0.123,0.89
file invoice hard nobody cares,0.722,0.069
do groceries hard needs focus,0.571,0.715
prepare for team standup important needs focus,0.548,0.743
do stretch not hard,0.181,0.218
finish exam prep tough challenging,0.613,0.58
take care of cleaning small but worth doing,0.16,0.357
do yoga difficult pointless,0.791,0.13
do walk not critical should do,0.49,0.487
finish dusting hard critical,0.673,0.902
fill out expense report decent effort important,0.47,0.603
finish laundry not important but hard,0.757,0.206
attend standup middle of the road,0.5,0.556
work on documentation minor task,0.176,0.267
prepare for homework hard quite important,0.56,0.746
get cooking hard very important,0.713,0.935
complete expense report extremely hard life or death,0.863,0.985
do medication minor task,0.33,0.22
lead team standup massive effort basically useless,0.716,0.116
lead networking event not important,0.259,0.252
do medication straightforward,0.211,0.221
lead team standup hard needs focus,0.676,0.573
debug report requires focus,0.394,0.665
fix report easy but critical,0.124,0.841
lead networking event hard critical,0.604,0.89
go for gym session takes forever but skip it,0.734,0.1
write code review hard zero payoff,0.709,0.058
prepare for presentation requires focus,0.418,0.516
do groceries non trivial,0.521,0.314
do meditation trivial but high stakes,0.05,0.803
take care of shopping regular task,0.471,0.378
debug performance review low priority,0.482,0.284
have dentist easy must do,0.156,0.914
lead retrospective moderate effort,0.394,0.471
easy stretch session,0.086,0.161
run team standup thirty seconds can't skip,0.081,0.941
do dishes hard doesn't matter,0.677,0.064
hard timesheet session,0.572,0.635
prepare for presentation not easy not important,0.413,0.412
refactor performance review easy but critical,0.115,0.938
do cleaning simple worth doing,0.103,0.543
have dentist easy no big deal,0.117,0.131
submit taxes moderate nothing special,0.465,0.311
prepare for interview not difficult,0.243,0.314
go to team standup fair amount of work,0.47,0.458
get dishes tough urgent must do,0.755,0.868
do doctor appointment technically hard completely optional,0.699,0.184
ship unit testing non trivial,0.562,0.446
finish dishes easy moderate important,0.153,0.516
go for yoga not important but hard,0.703,0.223
debug deployment quick urgent,0.116,0.872
study for assignment medium priority,0.308,0.682
write unit testing simple urgent need,0.083,0.827
finish dusting takes forever but skip it,0.705,0.072
join presentation demanding critical,0.6,0.9
do study session extremely complex critical,0.882,0.884
get checkup massive effort basically useless,0.743,0.121
get dusting fairly important,0.358,0.578
finish cleaning moderately important,0.405,0.668
go to checkup considerable effort,0.55,0.513
have team standup easy simple,0.128,0.169
join retrospective non trivial,0.507,0.37
have slides not a priority,0.341,0.175
do dentist not important but hard,0.674,0.168
go for yoga hard critical,0.558,0.938
join retrospective complex nobody asked for,0.571,0.145
do cooking tonight,0.3,0.39
go to call with client hard needs focus,0.736,0.576
complete invoice thirty seconds can't skip,0.075,0.88
write unit testing technically hard completely optional,0.796,0.087
prepare for meeting quick but important,0.148,0.784
take care of cooking simple urgent need,0.101,0.838
take care of cleaning tough urgent must do,0.709,0.917
finish cleaning hard nobody cares,0.799,0.176
debug documentation quick low value,0.16,0.299
fill out invoice easy but critical,0.064,0.851
handle groceries demanding critical,0.696,0.926
join call with client small but worth doing,0.117,0.34
do budget hard waste of time,0.653,0.129
review homework hard demanding,0.732,0.747
do cooking should prioritize,0.476,0.689
handle shopping easy moderate important,0.097,0.685
attend call with client takes no time top priority,0.084,0.889
fix performance review draining but irrelevant,0.774,0.08
hard exam prep session,0.554,0.502
run interview not urgent,0.386,0.265
do cleaning hardest thing ever very important,0.898,0.994
complete expense report considerable effort,0.568,0.4
run sprint planning hard doesn't matter,0.642,0.099
study for exam prep extremely complex critical,0.868,0.929
prepare for slides tough challenging,0.707,0.574
do shopping not important but hard,0.692,0.285
join presentation quite demanding,0.554,0.414
do cooking massive effort basically useless,0.76,0.081
go for workout demanding critical,0.764,0.92
get dentist needs reasonable effort,0.307,0.508
have medication fairly important,0.443,0.502
complete budget considerable effort,0.491,0.399
fill out taxes grueling most important,0.881,0.904
debug email hard waste of time,0.694,0.076
join retrospective hard demanding,0.791,0.655
file invoice fairly important,0.403,0.507
run sprint planning quick but important,0.143,0.763
run sprint planning tough urgent must do,0.687,0.866
refactor deployment fairly important,0.266,0.592
prepare for study session small but worth doing,0.104,0.267
go for walk needs attention,0.319,0.57
take care of cleaning easy should do,0.119,0.525
fill out expense report quick urgent,0.096,0.874
join meeting should prioritize,0.486,0.558
write documentation hardest thing ever very important,0.903,0.947
get dusting not a priority,0.382,0.209
have call with client easy but critical,0.061,0.821
get checkup should take some time,0.536,0.403
handle groceries extremely hard life or death,0.933,0.933
debug code review hard doesn't matter,0.6,0.052
review homework considerable effort,0.472,0.415
review assignment hard critical,0.663,0.925
fill out expense report needs reasonable effort,0.351,0.436
study for assignment easy nothing to stress,0.135,0.093
finish code review massive effort basically useless,0.821,0.139
join retrospective decent amount of work,0.418,0.334
prepare for sprint planning requires focus,0.426,0.588
do meditation medium priority,0.348,0.644
lead interview technically hard completely optional,0.641,0.191
get vacuuming hard doesn't matter,0.741,0.139
go to sprint planning not important,0.269,0.233
attend presentation before lunch,0.249,0.326
finish laundry considerable effort,0.533,0.445
go for run quick and simple,0.122,0.081
get dusting quick but important,0.052,0.883
get dusting extreme critical,0.883,0.898
finish cooking massive effort basically useless,0.746,0.118
fix performance review worthwhile effort,0.349,0.543
lead retrospective hardest thing ever very important,0.875,0.984
study for exam prep hard demanding,0.719,0.735
push code review background task,0.34,0.353
write deployment routine low stakes,0.208,0.346
get dishes hard hard,0.725,0.672
finish dusting needs reasonable effort,0.488,0.364
take care of cleaning extreme critical,0.859,0.851
finish documentation decent priority,0.475,0.662
moderate study session,0.329,0.345
handle groceries medium priority,0.489,0.64
run presentation hard cannot miss,0.782,0.901
do dusting brutal intense,0.931,0.863
write performance review hard quite important,0.69,0.699
go for meditation hard needs focus,0.726,0.665
go to presentation demanding critical,0.755,0.868
get medication medium priority,0.44,0.654
run call with client not important,0.291,0.237
file invoice takes no time,0.075,0.114
review deployment no rush,0.491,0.213
fix email hard demanding,0.692,0.716
have retrospective not urgent,0.322,0.315
go to meeting easy moderate important,0.179,0.542
have retrospective complex very important,0.785,0.851
run slides requires focus,0.384,0.637
review homework requires focus,0.359,0.532
